Protein	Gene	ProteinName	EntrezID	ProteinRef	Cal33.HSC6_log2FC	Cal33.HSC6_adj.pvalue	NumBR_Cal33	NumBR_HSC6
O00116	AGPS	alkylglycerone phosphate synthase	8540	O00116	0.239591788005249	0.184275591523625	4	4
O00139	KIF2A	kinesin family member 2A	3796	O00139	1.29064648431975	0.0058319557051344	4	3
O00148	DDX39A	DExD-box helicase 39A	10212	O00148	-0.366646627423217	0.690705946175714	3	4
O00151	PDLIM1	PDZ and LIM domain 1	9124	O00151	0.639512370537805	0.0731483410738553	4	4
O00159	MYO1C	myosin IC	4641	O00159	-0.0731951655362762	0.841618937803439	4	4
O00161	SNAP23	synaptosome associated protein 23	8773	O00161	-0.869207881456844	0.027699211657479	4	4
O00178	GTPBP1	GTP binding protein 1	9567	O00178	1.99004672570613	0.00434329605732815	4	4
O00192	ARVCF	ARVCF delta catenin family member	421	O00192	-0.788063172478444	0.0441205299398785	4	4
O00193	C11orf58	chromosome 11 open reading frame 58	10944	O00193	-1.72688419700493	0.0023067065744106	4	4
O00203	AP3B1	adaptor related protein complex 3 subunit beta 1	8546	O00203	-0.122424348501362	0.791979906873961	3	4
O00233	PSMD9	proteasome 26S subunit, non-ATPase 9	5715	O00233	-Inf	0	0	2
O00257	CBX4	chromobox 4	8535	O00257	0.0541202261596871	0.838069663216093	4	4
O00264	PGRMC1	progesterone receptor membrane component 1	10857	O00264	-0.918196544709723	0.0223950106420947	4	4
O00267	SUPT5H	SPT5 homolog, DSIF elongation factor subunit	6829	O00267	-1.35590590385483	0.00917966522944366	4	4
O00268	TAF4	TATA-box binding protein associated factor 4	6874	O00268	-0.63424153652002	0.33826832118407	4	3
O00273	DFFA	DNA fragmentation factor subunit alpha	1676	O00273	0.34372196672	0.337069709016669	4	4
O00303	EIF3F	eukaryotic translation initiation factor 3 subunit F	8665	O00303	1.23750405351682	0.0523321763328273	4	4
O00308	WWP2	WW domain containing E3 ubiquitin protein ligase 2	11060	O00308	-1.2345630797538	0.004539637850478	4	4
O00401	WASL	WASP like actin nucleation promoting factor	8976	O00401	Inf	0	2	0
O00418	EEF2K	eukaryotic elongation factor 2 kinase	29904	O00418	0.856047441588594	0.0669540962033369	4	4
O00425	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	10643	O00425	-2.20008212207044	0.0353961460913941	3	4
O00429	DNM1L	dynamin 1 like	10059	O00429	0.644516595093338	0.0299938989380278	4	4
O00443	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	5286	O00443	-0.82115831042062	0.0768142628075387	4	4
O00458	IFRD1	interferon related developmental regulator 1	3475	O00458	Inf	0	3	0
O00472	ELL2	elongation factor for RNA polymerase II 2	22936	O00472	1.7854810097691	0.0151304897844771	4	4
O00479	HMGN4	high mobility group nucleosomal binding domain 4	10473	O00479	Inf	0	3	0
O00488	ZNF593	zinc finger protein 593	51042	O00488	0.821698522278423	0.0702540720775524	4	4
O00499	BIN1	bridging integrator 1	274	O00499	-0.635889456045559	0.125840453043121	4	4
O00505	KPNA3	karyopherin subunit alpha 3	3839	O00505	-1.04041434921667	0.0141278493598045	1	4
O00512	BCL9	BCL9 transcription coactivator	607	O00512	-0.790925365383034	0.0344460573006225	4	4
O00515	LAD1	ladinin 1	3898	O00515	-1.05737691761881	0.00242884409350932	4	4
O00559	EBAG9	estrogen receptor binding site associated antigen 9	9166	O00559	-0.0792223481612602	0.778854091872824	4	4
O00560	SDCBP	syndecan binding protein	6386	O00560	1.71624841326033	0.0779158901078078	4	3
O00562	PITPNM1	phosphatidylinositol transfer protein membrane associated 1	9600	O00562	-0.278132062477451	0.62205265523833	2	4
O00567	NOP56	NOP56 ribonucleoprotein	10528	O00567	0.377825659161075	0.0312833337549055	4	4
O00571	DDX3X	DEAD-box helicase 3 X-linked	1654	O00571	-0.197028873565685	0.28278056234166	4	4
O00592	PODXL	podocalyxin like	5420	O00592	-Inf	0	0	4
O00712	NFIB	nuclear factor I B	4781	O00712	2.55492011914802	0.000238772972601805	4	4
O00716	E2F3	E2F transcription factor 3	1871	O00716	-1.95737498788983	0.0427901724311707	2	4
O00767	SCD	stearoyl-CoA desaturase	6319	O00767	0.194692515249857	0.737606233881879	4	3
O14494	PLPP1	phospholipid phosphatase 1	8611	O14494	1.30203948883732	0.0723445847552403	4	2
O14497	ARID1A	AT-rich interaction domain 1A	8289	O14497	0.184005206836528	0.320675531223237	4	4
O14519	CDK2AP1	cyclin dependent kinase 2 associated protein 1	8099	O14519	0.0418114708854265	0.921104216895894	3	4
O14523	C2CD2L	C2CD2 like	9854	O14523	0.852151552343725	0.0212306948052461	4	3
O14524	NEMP1	nuclear envelope integral membrane protein 1	23306	O14524	-0.835184554366166	0.00973602706109563	1	4
O14530	TXNDC9	thioredoxin domain containing 9	10190	O14530	0.892243074529272	0.258254895982141	3	2
O14545	TRAFD1	TRAF-type zinc finger domain containing 1	10906	O14545	1.05733511173337	0.131861155572398	4	4
O14578	CIT	citron rho-interacting serine/threonine kinase	11113	O14578	-0.576320426256556	0.00160279537858309	4	4
O14579	COPE	COPI coat complex subunit epsilon	11316	O14579	-1.3285150162206	0.0117108066375723	3	4
O14595	CTDSP2	CTD small phosphatase 2	10106	O14595	-0.168340068002754	0.504250823027537	1	3
O14607	UTY	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked	7404	O14607	0.0443248573183387	0.925391557052825	4	2
O14613	CDC42EP2	CDC42 effector protein 2	10435	O14613	Inf	0	2	0
O14617	AP3D1	adaptor related protein complex 3 subunit delta 1	8943	O14617	-0.565323457199383	0.167370459685648	4	4
O14618	CCS	copper chaperone for superoxide dismutase	9973	O14618	-Inf	0	0	3
O14639	ABLIM1	actin binding LIM protein 1	3983	O14639	0.522800741197929	0.0497151130521352	4	4
O14646	CHD1	chromodomain helicase DNA binding protein 1	1105	O14646	0.25297933304823	0.377808004985948	4	4
O14647	CHD2	chromodomain helicase DNA binding protein 2	1106	O14647	-0.788192797191767	0.0102020816017526	4	4
O14653	GOSR2	golgi SNAP receptor complex member 2	9570	O14653	-2.92257915756787	0.123581887791489	1	2
O14662	STX16	syntaxin 16	8675	O14662	-0.574095545896657	0.0851966454737254	4	4
O14681	EI24	EI24 autophagy associated transmembrane protein	9538	O14681	0.853129941203698	0.100312534553026	4	4
O14683	TP53I11	tumor protein p53 inducible protein 11	9537	O14683	2.63697979809887	0.00160372297294842	4	4
O14684	PTGES	prostaglandin E synthase	9536	O14684	-Inf	0	0	3
O14686	KMT2D	lysine methyltransferase 2D	8085	O14686	-0.144172465201959	0.700430445019015	4	4
O14733	MAP2K7	mitogen-activated protein kinase kinase 7	5609	O14733	1.00383357457426	0.433210637402698	4	3
O14737	PDCD5	programmed cell death 5	9141	O14737	-1.6404980662588	0.000747100247080531	4	4
O14745	SLC9A3R1	SLC9A3 regulator 1	9368	O14745	-0.344203613764888	0.537607828751108	4	4
O14757	CHEK1	checkpoint kinase 1	1111	O14757	Inf	0	2	0
O14818	PSMA7	proteasome 20S subunit alpha 7	5688	O14818	-1.06310230988147	0.0909927791043804	4	4
O14828	SCAMP3	secretory carrier membrane protein 3	10067	O14828	0.585244557322546	0.0689661800225617	4	3
O14867	BACH1	BTB domain and CNC homolog 1	571	O14867	-2.43407154812868	0.000541331948278097	4	4
O14874	BCKDK	branched chain keto acid dehydrogenase kinase	10295	O14874	-1.09346174815947	0.0306661512245261	4	4
O14879	IFIT3	interferon induced protein with tetratricopeptide repeats 3	3437	O14879	-Inf	0	0	4
O14893	GEMIN2	gem nuclear organelle associated protein 2	8487	O14893	0.618251108325185	0.382744797601802	2	4
O14896	IRF6	interferon regulatory factor 6	3664	O14896	1.07423678947099	0.0214928294297773	4	4
O14908	GIPC1	GIPC PDZ domain containing family member 1	10755	O14908	0.295351715697198	0.500687543214176	4	4
O14924	RGS12	regulator of G protein signaling 12	6002	O14924	1.8033005267965	0.0425682225561823	4	2
O14929	HAT1	histone acetyltransferase 1	8520	O14929	0.849573015807433	0.0460516280769185	4	4
O14936	CASK	calcium/calmodulin dependent serine protein kinase	8573	O14936	-0.454809324926418	0.513396551144531	4	3
O14939	PLD2	phospholipase D2	5338	O14939	-0.661036353553448	0.0172327933794159	3	4
O14965	AURKA	aurora kinase A	6790	O14965	-1.97209192904293	0.0697140067945164	3	4
O14974	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	4659	O14974	0.0146342546028481	0.975412489534144	4	4
O14976	GAK	cyclin G associated kinase	2580	O14976	0.159193244066919	0.615623384550295	4	4
O14978	ZNF263	zinc finger protein 263	10127	O14978	0.9462615212963	0.0428275952994053	4	4
O14980	XPO1	exportin 1	7514	O14980	Inf	0	3	0
O15013	ARHGEF10	Rho guanine nucleotide exchange factor 10	9639	O15013	1.35938398372561	0.0991927147836442	4	4
O15014	ZNF609	zinc finger protein 609	23060	O15014	-0.335052022033211	0.110516088786126	4	4
O15020	SPTBN2	spectrin beta, non-erythrocytic 2	6712	O15020	-0.151448633678161	0.572138725223957	4	4
O15021	MAST4	microtubule associated serine/threonine kinase family member 4	375449	O15021	2.50289040985156	0.00576849116201911	4	2
O15027	SEC16A	SEC16 homolog A, endoplasmic reticulum export factor	9919	O15027	2.11925567640362	0.00055129796534751	4	4
O15033	AREL1	apoptosis resistant E3 ubiquitin protein ligase 1	9870	O15033	-Inf	0	0	4
O15042	U2SURP	U2 snRNP associated SURP domain containing	23350	O15042	1.03791571509491	0.275884409533369	4	4
O15047	SETD1A	SET domain containing 1A, histone lysine methyltransferase	9739	O15047	-0.72168906273362	0.0227396143726518	4	4
O15055	PER2	period circadian regulator 2	8864	O15055	0.381334656480808	0.416505303162488	2	4
O15075	DCLK1	doublecortin like kinase 1	9201	O15075	1.29589988612303	0.0121812541165025	4	4
O15085	ARHGEF11	Rho guanine nucleotide exchange factor 11	9826	O15085	0.63024146771362	0.0731191870834913	4	4
O15119	TBX3	T-box transcription factor 3	6926	O15119	-1.92692169296706	0.0332467961816794	2	3
O15127	SCAMP2	secretory carrier membrane protein 2	10066	O15127	-0.364268518533911	0.340185045151833	3	4
O15155	BET1	Bet1 golgi vesicular membrane trafficking protein	10282	O15155	1.02221529135957	0.0328142006140353	4	4
O15156	ZBTB7B	zinc finger and BTB domain containing 7B	51043	O15156	-0.234491582752439	0.602721854029234	4	4
O15164	TRIM24	tripartite motif containing 24	8805	O15164	-0.00629653293961141	0.979254843029015	4	4
O15169	AXIN1	axin 1	8312	O15169	-0.470289814292135	0.460068897982003	4	3
O15194	CTDSPL	CTD small phosphatase like	10217	O15194	-1.38757838876953	0.00546575430174799	4	4
O15213	WDR46	WD repeat domain 46	9277	O15213	-1.08068297614801	0.0018507905489802	3	4
O15231	ZNF185	zinc finger protein 185 with LIM domain	7739	O15231	-2.45646115877215	0.000153739791840006	4	4
O15234	CASC3	CASC3 exon junction complex subunit	22794	O15234	-0.56006384868749	0.0823229254430447	4	4
O15258	RER1	retention in endoplasmic reticulum sorting receptor 1	11079	O15258	0.17174458162883	0.71397015922538	3	2
O15265	ATXN7	ataxin 7	6314	O15265	-0.544514922083365	0.184359374986348	3	1
O15320	MIA2	MIA SH3 domain ER export factor 2	4253	O15320	0.253446206582838	0.516500532723354	4	4
O15344	MID1	midline 1	4281	O15344	-Inf	0	0	4
O15350	TP73	tumor protein p73	7161	O15350	-1.62535211554946	0.0311304912907726	1	4
O15372	EIF3H	eukaryotic translation initiation factor 3 subunit H	8667	O15372	1.10521800387343	0.385878017510745	4	3
O15400	STX7	syntaxin 7	8417	O15400	-0.433828608303281	0.512955665151176	4	4
O15409	FOXP2	forkhead box P2	93986	O15409	Inf	0	4	0
O15417	TNRC18	trinucleotide repeat containing 18	84629	O15417	-0.901498599790881	0.00196833358848505	4	4
O15427	SLC16A3	solute carrier family 16 member 3	9123	O15427	-0.236460741722115	0.4488000455272	1	4
O15439	ABCC4	ATP binding cassette subfamily C member 4	10257	O15439	-1.36279786598671	0.0247671164998254	3	4
O15440	ABCC5	ATP binding cassette subfamily C member 5	10057	O15440	-0.024554830200483	0.904768206039244	4	4
O15446	POLR1G	RNA polymerase I subunit G	10849	O15446	0.881579628543664	0.0299144121834291	4	4
O15504	NUP42	nucleoporin 42	11097	O15504	2.3181367313521	0.000638214590278208	4	3
O15523	DDX3Y	DEAD-box helicase 3 Y-linked	8653	O15523	-0.746634222122134	0.0402326558652674	4	4
O15525	MAFG	MAF bZIP transcription factor G	4097	O15525	-1.90207821391784	0.00281940333397543	4	4
O15530	PDPK1	3-phosphoinositide dependent protein kinase 1	5170	O15530	0.748608084902517	0.206086733014927	4	4
O15541	RNF113A	ring finger protein 113A	7737	O15541	0.500849036982753	0.629879219536916	4	3
O43150	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	8853	O43150	1.01748535874659	0.172289007780446	4	4
O43156	TTI1	TELO2 interacting protein 1	9675	O43156	0.506222656914283	0.553914583499829	2	3
O43159	RRP8	ribosomal RNA processing 8	23378	O43159	0.295091996996974	0.20996297072912	4	4
O43166	SIPA1L1	signal induced proliferation associated 1 like 1	26037	O43166	-0.293253500147794	0.0809264755234511	4	4
O43169	CYB5B	cytochrome b5 type B	80777	O43169	-0.289490998687583	0.630953858527851	4	4
O43172	PRPF4	pre-mRNA processing factor 4	9128	O43172	-0.397188958700345	0.44692807194333	3	2
O43189	PHF1	PHD finger protein 1	5252	O43189	-0.516652916714669	0.0266236619952067	4	4
O43194	GPR39	G protein-coupled receptor 39	2863	O43194	-Inf	0	0	4
O43237	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	1783	O43237	-0.1228135985761	0.613187263687599	4	4
O43255	SIAH2	siah E3 ubiquitin protein ligase 2	6478	O43255	-0.969248662331935	0.0859172261215444	3	2
O43290	SART1	spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP	9092	O43290	-0.168196604511988	0.709297717525856	3	3
O43295	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	9901	O43295	Inf	0	4	0
O43296	ZNF264	zinc finger protein 264	9422	O43296	-Inf	0	0	3
O43303	CCP110	centriolar coiled-coil protein 110	9738	O43303	0.177673346835269	0.573357379457935	4	4
O43306	ADCY6	adenylate cyclase 6	112	O43306	-0.733413855224685	0.0652994560157192	2	3
O43314	PPIP5K2	diphosphoinositol pentakisphosphate kinase 2	23262	O43314	0.762415171850247	0.0613598210619801	4	4
O43318	MAP3K7	mitogen-activated protein kinase kinase kinase 7	6885	O43318	0.601357944159172	0.0264643520423942	4	4
O43353	RIPK2	receptor interacting serine/threonine kinase 2	8767	O43353	1.46821725085375	0.0490673963398471	4	3
O43374	RASA4	RAS p21 protein activator 4	10156	O43374	Inf	0	4	0
O43379	WDR62	WD repeat domain 62	284403	O43379	0.878038714450962	0.243338271446413	4	1
O43390	HNRNPR	heterogeneous nuclear ribonucleoprotein R	10236	O43390	0.0358957585738428	0.832422492340114	4	4
O43395	PRPF3	pre-mRNA processing factor 3	9129	O43395	-0.989544580670407	0.00386352818677146	4	4
O43399	TPD52L2	TPD52 like 2	7165	O43399	-0.494963394984461	0.0821894856339154	4	4
O43426	SYNJ1	synaptojanin 1	8867	O43426	-1.7760200631489	0.0494747232457531	4	2
O43432	EIF4G3	eukaryotic translation initiation factor 4 gamma 3	8672	O43432	0.0879913695631782	0.676476566587215	4	4
O43463	SUV39H1	suppressor of variegation 3-9 homolog 1	6839	O43463	0.539037668287955	0.125249894629329	4	4
O43474	KLF4	Kruppel like factor 4	9314	O43474	-1.15297384974335	0.0351990802127259	1	3
O43482	OIP5	Opa interacting protein 5	11339	O43482	-1.35803788207469	0.000336776883461917	4	4
O43491	EPB41L2	erythrocyte membrane protein band 4.1 like 2	2037	O43491	-1.38387972062195	0.00763599474339205	4	4
O43493	TGOLN2	trans-golgi network protein 2	10618	O43493	0.272639514472626	0.395695766941036	4	4
O43502	RAD51C	RAD51 paralog C	5889	O43502	3.93594022392257	0.105749884848293	3	1
O43524	FOXO3	forkhead box O3	2309	O43524	0.426714885727292	0.311098115045778	4	4
O43572	AKAP10	A-kinase anchoring protein 10	11216	O43572	0.239012802534567	0.803198594010653	4	4
O43583	DENR	density regulated re-initiation and release factor	8562	O43583	-Inf	0	0	4
O43598	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	10591	O43598	0.829729820239025	0.213507177097489	2	2
O43609	SPRY1	sprouty RTK signaling antagonist 1	10252	O43609	Inf	0	4	0
O43639	NCK2	NCK adaptor protein 2	8440	O43639	0.538423661459636	0.0785219698128243	4	3
O43663	PRC1	protein regulator of cytokinesis 1	9055	O43663	-1.11371933728761	0.00349654533450198	3	4
O43683	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	699	O43683	0.689549241024364	0.142734706038795	4	3
O43684	BUB3	BUB3 mitotic checkpoint protein	9184	O43684	-1.90933046672767	0.00817980905410724	4	4
O43709	BUD23	BUD23 rRNA methyltransferase and ribosome maturation factor	114049	O43709	Inf	0	4	0
O43719	HTATSF1	HIV-1 Tat specific factor 1	27336	O43719	-2.74493950517138	0.00187414804566054	4	4
O43741	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2	5565	O43741	0.226205545485562	0.7588867439462	3	4
O43760	SYNGR2	synaptogyrin 2	9144	O43760	-0.650423364896876	0.0675530067807102	3	4
O43765	SGTA	small glutamine rich tetratricopeptide repeat containing alpha	6449	O43765	0.181370752537709	0.58339471282495	4	4
O43808	SLC25A17	solute carrier family 25 member 17	10478	O43808	0.584967587496824	0.684370538002939	4	3
O43815	STRN	striatin	6801	O43815	0.12327046704366	0.72664080507067	4	4
O43818	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein	9136	O43818	-Inf	0	0	3
O43823	AKAP8	A-kinase anchoring protein 8	10270	O43823	-0.787794532209214	0.148043885233529	1	4
O43847	NRDC	nardilysin convertase	4898	O43847	0.198846380662334	0.758071002338324	4	4
O43896	KIF1C	kinesin family member 1C	10749	O43896	0.685196037905867	0.0626215016189292	4	4
O43900	PRICKLE3	prickle planar cell polarity protein 3	4007	O43900	1.79469483657452	0.00816126332685846	4	3
O43933	PEX1	peroxisomal biogenesis factor 1	5189	O43933	-0.201158380707813	0.635116605774206	4	4
O60218	AKR1B10	aldo-keto reductase family 1 member B10	57016	O60218	Inf	0	4	0
O60231	DHX16	DEAH-box helicase 16	8449	O60231	-2.25575681387975	0.000602707544754597	4	4
O60237	PPP1R12B	protein phosphatase 1 regulatory subunit 12B	4660	O60237	Inf	0	3	0
O60238	BNIP3L	BCL2 interacting protein 3 like	665	O60238	0.43884489770218	0.635116605774206	1	3
O60244	MED14	mediator complex subunit 14	9282	O60244	-0.941945961756743	0.00137497688071282	4	4
O60245	PCDH7	protocadherin 7	5099	O60245	-2.87964239662827	0.000360431702882555	4	4
O60248	SOX15	SRY-box transcription factor 15	6665	O60248	-0.901727852615006	0.0120792593353149	4	4
O60256	PRPSAP2	phosphoribosyl pyrophosphate synthetase associated protein 2	5636	O60256	0.734417543761973	0.158395058395512	4	4
O60264	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	8467	O60264	-0.546950047001447	0.190357505138527	4	4
O60271	SPAG9	sperm associated antigen 9	9043	O60271	0.188066766553353	0.48726087218371	4	4
O60287	URB1	URB1 ribosome biogenesis homolog	9875	O60287	-1.62993738154338	0.173343820005934	3	4
O60291	MGRN1	mahogunin ring finger 1	23295	O60291	0.743213174247851	NA	1	1
O60292	SIPA1L3	signal induced proliferation associated 1 like 3	23094	O60292	-0.397020545355314	0.0780564586104791	4	4
O60293	ZFC3H1	zinc finger C3H1-type containing	196441	O60293	-1.31262823984356	0.000747100247080531	4	4
O60303	KATNIP	katanin interacting protein	23247	O60303	-0.494008481811575	0.135568657899578	3	4
O60318	MCM3AP	minichromosome maintenance complex component 3 associated protein	8888	O60318	0.903755456626808	0.0154746330078839	4	4
O60333	KIF1B	kinesin family member 1B	23095	O60333	-0.294574163977662	0.595622112032088	4	4
O60336	MAPKBP1	mitogen-activated protein kinase binding protein 1	23005	O60336	-3.63936051214579	0.000855026172860818	4	4
O60341	KDM1A	lysine demethylase 1A	23028	O60341	-0.666665412336356	0.00481899120271646	4	4
O60343	TBC1D4	TBC1 domain family member 4	9882	O60343	1.29045991155576	0.00758020347545776	4	4
O60353	FZD6	frizzled class receptor 6	8323	O60353	0.0753862062356532	0.74264073025153	4	4
O60437	PPL	periplakin	5493	O60437	0.958343194469201	0.00612293435966959	4	4
O60447	EVI5	ecotropic viral integration site 5	7813	O60447	-3.3045813225654	0.00836340847367167	1	4
O60487	MPZL2	myelin protein zero like 2	10205	O60487	-0.396097341650259	0.34902777603286	4	4
O60493	SNX3	sorting nexin 3	8724	O60493	0.0300926944558715	0.957520397642584	4	4
O60503	ADCY9	adenylate cyclase 9	115	O60503	-0.461981385196052	0.29362353031965	3	3
O60504	SORBS3	sorbin and SH3 domain containing 3	10174	O60504	1.18599320954821	0.0383375108170942	4	4
O60524	NEMF	nuclear export mediator factor	9147	O60524	0.18304381926042	0.682594488838443	4	4
O60563	CCNT1	cyclin T1	904	O60563	Inf	0	3	0
O60566	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	701	O60566	-0.940205998256793	0.12676498169719	4	4
O60583	CCNT2	cyclin T2	905	O60583	-0.0916364488833888	0.888267372403384	4	4
O60610	DIAPH1	diaphanous related formin 1	1729	O60610	-1.38715143099022	0.0122435806989683	3	4
O60658	PDE8A	phosphodiesterase 8A	5151	O60658	-0.211560647668393	0.911835948567912	2	3
O60673	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit	5980	O60673	0.198208685456949	0.70387410611945	3	4
O60674	JAK2	Janus kinase 2	3717	O60674	-0.189718453007992	0.642279815024632	2	2
O60675	MAFK	MAF bZIP transcription factor K	7975	O60675	0.122100309042964	0.829132933264592	4	4
O60684	KPNA6	karyopherin subunit alpha 6	23633	O60684	0.868879023820138	0.0177778833258365	4	4
O60716	CTNND1	catenin delta 1	1500	O60716	-1.13069832486038	9.33253130186123e-05	4	4
O60749	SNX2	sorting nexin 2	6643	O60749	-0.722221370013664	0.184216513798532	3	4
O60762	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	8813	O60762	-0.988731254373036	0.0156193798157206	4	4
O60763	USO1	USO1 vesicle transport factor	8615	O60763	0.53889135425243	0.393808439025322	4	4
O60765	ZNF354A	zinc finger protein 354A	6940	O60765	0.411118588158568	0.378175692920196	4	4
O60784	TOM1	target of myb1 membrane trafficking protein	10043	O60784	-0.392612723016485	0.289997604165278	4	3
O60825	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	5208	O60825	1.02633725958854	0.00354318006308864	4	4
O60828	PQBP1	polyglutamine binding protein 1	10084	O60828	0.663759028733964	0.194732983167829	4	4
O60832	DKC1	dyskerin pseudouridine synthase 1	1736	O60832	-1.80605061650214	3.02159433331894e-05	4	4
O60841	EIF5B	eukaryotic translation initiation factor 5B	9669	O60841	-1.24159439837005	0.000518969631714818	4	4
O60869	EDF1	endothelial differentiation related factor 1	8721	O60869	0.71573549634404	0.0231995790406358	4	3
O60885	BRD4	bromodomain containing 4	23476	O60885	-0.188514394905237	0.154960544119733	4	4
O60930	RNASEH1	ribonuclease H1	246243	O60930	-0.767149397559303	0.210615104603669	4	4
O60934	NBN	nibrin	4683	O60934	0.759019651860605	0.00998290166800374	4	4
O75044	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	23380	O75044	-0.612254428299912	0.191649511216417	4	4
O75084	FZD7	frizzled class receptor 7	8324	O75084	-Inf	0	0	3
O75096	LRP4	LDL receptor related protein 4	4038	O75096	0.531660833285396	0.388059974076156	4	3
O75113	N4BP1	NEDD4 binding protein 1	9683	O75113	-0.670738483629601	0.0577177370882111	4	4
O75116	ROCK2	Rho associated coiled-coil containing protein kinase 2	9475	O75116	-0.588468423727705	0.0680822544723525	4	3
O75122	CLASP2	cytoplasmic linker associated protein 2	23122	O75122	-0.0651758863469319	0.719291088813807	4	4
O75128	COBL	cordon-bleu WH2 repeat protein	23242	O75128	-1.98634138311729	0.0251359401676971	2	4
O75132	ZBED4	zinc finger BED-type containing 4	9889	O75132	-0.579007420556494	0.356479866553232	4	4
O75140	DEPDC5	DEP domain containing 5, GATOR1 subcomplex subunit	9681	O75140	-Inf	0	0	4
