Protein	Gene	ProteinName	EntrezID	ProteinRef	Comparison	log2FC	pvalue	adj.pvalue	imputed	iLog2FC	iPvalue	Cal33	HSC6	CMA	Species
O00148	DDX39A	DExD-box helicase 39A	10212	O00148	Cal33-HSC6	-0.366646627423217	0.605018493682181	0.690705946175714	no	-0.366646627423217	0.690705946175714	3	4	HSC6	human
O00151	PDLIM1	PDZ and LIM domain 1	9124	O00151	Cal33-HSC6	0.639512370537805	0.0337713760611078	0.0731483410738553	no	0.639512370537805	0.0731483410738553	4	4	Cal33	human
O00159	MYO1C	myosin IC	4641	O00159	Cal33-HSC6	-0.0731951655362762	0.789546409302409	0.841618937803439	no	-0.0731951655362762	0.841618937803439	4	4	HSC6	human
O00161	SNAP23	synaptosome associated protein 23	8773	O00161	Cal33-HSC6	-0.869207881456844	0.0092997667279664	0.027699211657479	no	-0.869207881456844	0.027699211657479	4	4	HSC6	human
O00178	GTPBP1	GTP binding protein 1	9567	O00178	Cal33-HSC6	1.99004672570613	0.000620940516680824	0.00434329605732815	no	1.99004672570613	0.00434329605732815	4	4	Cal33	human
O00192	ARVCF	ARVCF delta catenin family member	421	O00192	Cal33-HSC6	-0.788063172478444	0.0173436258615662	0.0441205299398785	no	-0.788063172478444	0.0441205299398785	4	4	HSC6	human
O00193	C11orf58	chromosome 11 open reading frame 58	10944	O00193	Cal33-HSC6	-1.72688419700493	0.000231904267592675	0.0023067065744106	no	-1.72688419700493	0.0023067065744106	4	4	HSC6	human
O00203	AP3B1	adaptor related protein complex 3 subunit beta 1	8546	O00203	Cal33-HSC6	-0.122424348501362	0.726561968586319	0.791979906873961	no	-0.122424348501362	0.791979906873961	3	4	HSC6	human
O00233	PSMD9	proteasome 26S subunit, non-ATPase 9	5715	O00233	Cal33-HSC6	-Inf	NA	0	yes	-2.69747651445337	0.0176368	0	2	HSC6	human
O00257	CBX4	chromobox 4	8535	O00257	Cal33-HSC6	0.0541202261596871	0.785690309265087	0.838069663216093	no	0.0541202261596871	0.838069663216093	4	4	Cal33	human
O00264	PGRMC1	progesterone receptor membrane component 1	10857	O00264	Cal33-HSC6	-0.918196544709723	0.00686287068489522	0.0223950106420947	no	-0.918196544709723	0.0223950106420947	4	4	HSC6	human
O00267	SUPT5H	SPT5 homolog, DSIF elongation factor subunit	6829	O00267	Cal33-HSC6	-1.35590590385483	0.00188263862902849	0.00917966522944366	no	-1.35590590385483	0.00917966522944366	4	4	HSC6	human
O00268	TAF4	TATA-box binding protein associated factor 4	6874	O00268	Cal33-HSC6	-0.63424153652002	0.243077235825739	0.33826832118407	no	-0.63424153652002	0.33826832118407	4	3	HSC6	human
O00273	DFFA	DNA fragmentation factor subunit alpha	1676	O00273	Cal33-HSC6	0.34372196672	0.242004194350536	0.337069709016669	no	0.34372196672	0.337069709016669	4	4	Cal33	human
O00303	EIF3F	eukaryotic translation initiation factor 3 subunit F	8665	O00303	Cal33-HSC6	1.23750405351682	0.0218762960738044	0.0523321763328273	no	1.23750405351682	0.0523321763328273	4	4	Cal33	human
O00308	WWP2	WW domain containing E3 ubiquitin protein ligase 2	11060	O00308	Cal33-HSC6	-1.2345630797538	0.000668145956534083	0.004539637850478	no	-1.2345630797538	0.004539637850478	4	4	HSC6	human
O00401	WASL	WASP like actin nucleation promoting factor	8976	O00401	Cal33-HSC6	Inf	NA	0	yes	2.2789843597708	0.0159133	2	0	Cal33	human
O00418	EEF2K	eukaryotic elongation factor 2 kinase	29904	O00418	Cal33-HSC6	0.856047441588594	0.0299022376888018	0.0669540962033369	no	0.856047441588594	0.0669540962033369	4	4	Cal33	human
O00425	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	10643	O00425	Cal33-HSC6	-2.20008212207044	0.012995632782927	0.0353961460913941	no	-2.20008212207044	0.0353961460913941	3	4	HSC6	human
O00429	DNM1L	dynamin 1 like	10059	O00429	Cal33-HSC6	0.644516595093338	0.0104281551898231	0.0299938989380278	no	0.644516595093338	0.0299938989380278	4	4	Cal33	human
O00443	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	5286	O00443	Cal33-HSC6	-0.82115831042062	0.0360187482323038	0.0768142628075387	no	-0.82115831042062	0.0768142628075387	4	4	HSC6	human
O00458	IFRD1	interferon related developmental regulator 1	3475	O00458	Cal33-HSC6	Inf	NA	0	yes	4.00672202981643	0.0283203	3	0	Cal33	human
O00472	ELL2	elongation factor for RNA polymerase II 2	22936	O00472	Cal33-HSC6	1.7854810097691	0.00393468767008387	0.0151304897844771	no	1.7854810097691	0.0151304897844771	4	4	Cal33	human
O00479	HMGN4	high mobility group nucleosomal binding domain 4	10473	O00479	Cal33-HSC6	Inf	NA	0	yes	2.77367016110895	0.0309192	3	0	Cal33	human
O00488	ZNF593	zinc finger protein 593	51042	O00488	Cal33-HSC6	0.821698522278423	0.0319276514749429	0.0702540720775524	no	0.821698522278423	0.0702540720775524	4	4	Cal33	human
O00499	BIN1	bridging integrator 1	274	O00499	Cal33-HSC6	-0.635889456045559	0.0680977074727691	0.125840453043121	no	-0.635889456045559	0.125840453043121	4	4	HSC6	human
O00505	KPNA3	karyopherin subunit alpha 3	3839	O00505	Cal33-HSC6	-1.04041434921667	0.00355726454125049	0.0141278493598045	no	-1.04041434921667	0.0141278493598045	1	4	HSC6	human
O00512	BCL9	BCL9 transcription coactivator	607	O00512	Cal33-HSC6	-0.790925365383034	0.012537771538339	0.0344460573006225	no	-0.790925365383034	0.0344460573006225	4	4	HSC6	human
O00515	LAD1	ladinin 1	3898	O00515	Cal33-HSC6	-1.05737691761881	0.000248681901533931	0.00242884409350932	no	-1.05737691761881	0.00242884409350932	4	4	HSC6	human
O00559	EBAG9	estrogen receptor binding site associated antigen 9	9166	O00559	Cal33-HSC6	-0.0792223481612602	0.709138822970891	0.778854091872824	no	-0.0792223481612602	0.778854091872824	4	4	HSC6	human
O00560	SDCBP	syndecan binding protein	6386	O00560	Cal33-HSC6	1.71624841326033	0.0367279172549559	0.0779158901078078	no	1.71624841326033	0.0779158901078078	4	3	Cal33	human
O00562	PITPNM1	phosphatidylinositol transfer protein membrane associated 1	9600	O00562	Cal33-HSC6	-0.278132062477451	0.52788513644911	0.62205265523833	no	-0.278132062477451	0.62205265523833	2	4	HSC6	human
O00567	NOP56	NOP56 ribonucleoprotein	10528	O00567	Cal33-HSC6	0.377825659161075	0.0110631387588014	0.0312833337549055	no	0.377825659161075	0.0312833337549055	4	4	Cal33	human
O00571	DDX3X	DEAD-box helicase 3 X-linked	1654	O00571	Cal33-HSC6	-0.197028873565685	0.194411636609892	0.28278056234166	no	-0.197028873565685	0.28278056234166	4	4	HSC6	human
O00592	PODXL	podocalyxin like	5420	O00592	Cal33-HSC6	-Inf	NA	0	yes	-5.26358008207048	0.0218646	0	4	HSC6	human
O00712	NFIB	nuclear factor I B	4781	O00712	Cal33-HSC6	2.55492011914802	3.2398085079155e-06	0.000238772972601805	no	2.55492011914802	0.000238772972601805	4	4	Cal33	human
O00716	E2F3	E2F transcription factor 3	1871	O00716	Cal33-HSC6	-1.95737498788983	0.0166107578909946	0.0427901724311707	no	-1.95737498788983	0.0427901724311707	2	4	HSC6	human
O00767	SCD	stearoyl-CoA desaturase	6319	O00767	Cal33-HSC6	0.194692515249857	0.660695031102739	0.737606233881879	no	0.194692515249857	0.737606233881879	4	3	Cal33	human
O14494	PLPP1	phospholipid phosphatase 1	8611	O14494	Cal33-HSC6	1.30203948883732	0.0332185247839702	0.0723445847552403	no	1.30203948883732	0.0723445847552403	4	2	Cal33	human
O14497	ARID1A	AT-rich interaction domain 1A	8289	O14497	Cal33-HSC6	0.184005206836528	0.227413740421504	0.320675531223237	no	0.184005206836528	0.320675531223237	4	4	Cal33	human
O14519	CDK2AP1	cyclin dependent kinase 2 associated protein 1	8099	O14519	Cal33-HSC6	0.0418114708854265	0.885364954505512	0.921104216895894	no	0.0418114708854265	0.921104216895894	3	4	Cal33	human
O14523	C2CD2L	C2CD2 like	9854	O14523	Cal33-HSC6	0.852151552343725	0.00640121451414455	0.0212306948052461	no	0.852151552343725	0.0212306948052461	4	3	Cal33	human
O14524	NEMP1	nuclear envelope integral membrane protein 1	23306	O14524	Cal33-HSC6	-0.835184554366166	0.00206707107201654	0.00973602706109563	no	-0.835184554366166	0.00973602706109563	1	4	HSC6	human
O14530	TXNDC9	thioredoxin domain containing 9	10190	O14530	Cal33-HSC6	0.892243074529272	0.173008069450348	0.258254895982141	no	0.892243074529272	0.258254895982141	3	2	Cal33	human
O14545	TRAFD1	TRAF-type zinc finger domain containing 1	10906	O14545	Cal33-HSC6	1.05733511173337	0.0726810075469719	0.131861155572398	no	1.05733511173337	0.131861155572398	4	4	Cal33	human
O14578	CIT	citron rho-interacting serine/threonine kinase	11113	O14578	Cal33-HSC6	-0.576320426256556	0.000113262864378516	0.00160279537858309	no	-0.576320426256556	0.00160279537858309	4	4	HSC6	human
O14579	COPE	COPI coat complex subunit epsilon	11316	O14579	Cal33-HSC6	-1.3285150162206	0.0027096328585936	0.0117108066375723	no	-1.3285150162206	0.0117108066375723	3	4	HSC6	human
O14595	CTDSP2	CTD small phosphatase 2	10106	O14595	Cal33-HSC6	-0.168340068002754	0.402577133208543	0.504250823027537	no	-0.168340068002754	0.504250823027537	1	3	HSC6	human
O14607	UTY	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked	7404	O14607	Cal33-HSC6	0.0443248573183387	0.893095457668647	0.925391557052825	no	0.0443248573183387	0.925391557052825	4	2	Cal33	human
O14613	CDC42EP2	CDC42 effector protein 2	10435	O14613	Cal33-HSC6	Inf	NA	0	yes	2.6495655443782	0.0317692	2	0	Cal33	human
O14617	AP3D1	adaptor related protein complex 3 subunit delta 1	8943	O14617	Cal33-HSC6	-0.565323457199383	0.098771700298157	0.167370459685648	no	-0.565323457199383	0.167370459685648	4	4	HSC6	human
O14618	CCS	copper chaperone for superoxide dismutase	9973	O14618	Cal33-HSC6	-Inf	NA	0	yes	-4.0907199184002	0.0284944	0	3	HSC6	human
O14639	ABLIM1	actin binding LIM protein 1	3983	O14639	Cal33-HSC6	0.522800741197929	0.0203488399010485	0.0497151130521352	no	0.522800741197929	0.0497151130521352	4	4	Cal33	human
O14646	CHD1	chromodomain helicase DNA binding protein 1	1105	O14646	Cal33-HSC6	0.25297933304823	0.280270888120857	0.377808004985948	no	0.25297933304823	0.377808004985948	4	4	Cal33	human
O14647	CHD2	chromodomain helicase DNA binding protein 2	1106	O14647	Cal33-HSC6	-0.788192797191767	0.00221898973124546	0.0102020816017526	no	-0.788192797191767	0.0102020816017526	4	4	HSC6	human
O14653	GOSR2	golgi SNAP receptor complex member 2	9570	O14653	Cal33-HSC6	-2.92257915756787	0.0663321125111982	0.123581887791489	no	-2.92257915756787	0.123581887791489	1	2	HSC6	human
O14662	STX16	syntaxin 16	8675	O14662	Cal33-HSC6	-0.574095545896657	0.0411266470141696	0.0851966454737254	no	-0.574095545896657	0.0851966454737254	4	4	HSC6	human
O14681	EI24	EI24 autophagy associated transmembrane protein	9538	O14681	Cal33-HSC6	0.853129941203698	0.0506918555577318	0.100312534553026	no	0.853129941203698	0.100312534553026	4	4	Cal33	human
O14683	TP53I11	tumor protein p53 inducible protein 11	9537	O14683	Cal33-HSC6	2.63697979809887	0.000115682478066592	0.00160372297294842	no	2.63697979809887	0.00160372297294842	4	4	Cal33	human
O14684	PTGES	prostaglandin E synthase	9536	O14684	Cal33-HSC6	-Inf	NA	0	yes	-5.54623720194597	0.0346145	0	3	HSC6	human
O14686	KMT2D	lysine methyltransferase 2D	8085	O14686	Cal33-HSC6	-0.144172465201959	0.616176405935384	0.700430445019015	no	-0.144172465201959	0.700430445019015	4	4	HSC6	human
O14733	MAP2K7	mitogen-activated protein kinase kinase 7	5609	O14733	Cal33-HSC6	1.00383357457426	0.332255143384858	0.433210637402698	no	1.00383357457426	0.433210637402698	4	3	Cal33	human
O14737	PDCD5	programmed cell death 5	9141	O14737	Cal33-HSC6	-1.6404980662588	3.30803796491086e-05	0.000747100247080531	no	-1.6404980662588	0.000747100247080531	4	4	HSC6	human
O14745	SLC9A3R1	SLC9A3 regulator 1	9368	O14745	Cal33-HSC6	-0.344203613764888	0.437312900899928	0.537607828751108	no	-0.344203613764888	0.537607828751108	4	4	HSC6	human
O14757	CHEK1	checkpoint kinase 1	1111	O14757	Cal33-HSC6	Inf	NA	0	yes	2.95523530772273	0.0363978	2	0	Cal33	human
O14818	PSMA7	proteasome 20S subunit alpha 7	5688	O14818	Cal33-HSC6	-1.06310230988147	0.0446390455279655	0.0909927791043804	no	-1.06310230988147	0.0909927791043804	4	4	HSC6	human
O14828	SCAMP3	secretory carrier membrane protein 3	10067	O14828	Cal33-HSC6	0.585244557322546	0.0311690744511515	0.0689661800225617	no	0.585244557322546	0.0689661800225617	4	3	Cal33	human
O14867	BACH1	BTB domain and CNC homolog 1	571	O14867	Cal33-HSC6	-2.43407154812868	1.80217294338814e-05	0.000541331948278097	no	-2.43407154812868	0.000541331948278097	4	4	HSC6	human
O14874	BCKDK	branched chain keto acid dehydrogenase kinase	10295	O14874	Cal33-HSC6	-1.09346174815947	0.0107485630548276	0.0306661512245261	no	-1.09346174815947	0.0306661512245261	4	4	HSC6	human
O14879	IFIT3	interferon induced protein with tetratricopeptide repeats 3	3437	O14879	Cal33-HSC6	-Inf	NA	0	yes	-6.90155877467408	0.0260204	0	4	HSC6	human
O14893	GEMIN2	gem nuclear organelle associated protein 2	8487	O14893	Cal33-HSC6	0.618251108325185	0.285255466303102	0.382744797601802	no	0.618251108325185	0.382744797601802	2	4	Cal33	human
O14896	IRF6	interferon regulatory factor 6	3664	O14896	Cal33-HSC6	1.07423678947099	0.00651400138182634	0.0214928294297773	no	1.07423678947099	0.0214928294297773	4	4	Cal33	human
O14908	GIPC1	GIPC PDZ domain containing family member 1	10755	O14908	Cal33-HSC6	0.295351715697198	0.399417826559048	0.500687543214176	no	0.295351715697198	0.500687543214176	4	4	Cal33	human
O14924	RGS12	regulator of G protein signaling 12	6002	O14924	Cal33-HSC6	1.8033005267965	0.016497860123847	0.0425682225561823	no	1.8033005267965	0.0425682225561823	4	2	Cal33	human
O14929	HAT1	histone acetyltransferase 1	8520	O14929	Cal33-HSC6	0.849573015807433	0.0183107290029456	0.0460516280769185	no	0.849573015807433	0.0460516280769185	4	4	Cal33	human
O14936	CASK	calcium/calmodulin dependent serine protein kinase	8573	O14936	Cal33-HSC6	-0.454809324926418	0.413587359825918	0.513396551144531	no	-0.454809324926418	0.513396551144531	4	3	HSC6	human
O14939	PLD2	phospholipase D2	5338	O14939	Cal33-HSC6	-0.661036353553448	0.00470651742512551	0.0172327933794159	no	-0.661036353553448	0.0172327933794159	3	4	HSC6	human
O14965	AURKA	aurora kinase A	6790	O14965	Cal33-HSC6	-1.97209192904293	0.0316165282070608	0.0697140067945164	no	-1.97209192904293	0.0697140067945164	3	4	HSC6	human
O14974	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	4659	O14974	Cal33-HSC6	0.0146342546028481	0.964077608217321	0.975412489534144	no	0.0146342546028481	0.975412489534144	4	4	Cal33	human
O14976	GAK	cyclin G associated kinase	2580	O14976	Cal33-HSC6	0.159193244066919	0.520302301452527	0.615623384550295	no	0.159193244066919	0.615623384550295	4	4	Cal33	human
O14978	ZNF263	zinc finger protein 263	10127	O14978	Cal33-HSC6	0.9462615212963	0.016676850798961	0.0428275952994053	no	0.9462615212963	0.0428275952994053	4	4	Cal33	human
O14980	XPO1	exportin 1	7514	O14980	Cal33-HSC6	Inf	NA	0	yes	4.27178261583995	0.0458992	3	0	Cal33	human
O15013	ARHGEF10	Rho guanine nucleotide exchange factor 10	9639	O15013	Cal33-HSC6	1.35938398372561	0.0500325062633582	0.0991927147836442	no	1.35938398372561	0.0991927147836442	4	4	Cal33	human
O15014	ZNF609	zinc finger protein 609	23060	O15014	Cal33-HSC6	-0.335052022033211	0.0571684741914145	0.110516088786126	no	-0.335052022033211	0.110516088786126	4	4	HSC6	human
O15020	SPTBN2	spectrin beta, non-erythrocytic 2	6712	O15020	Cal33-HSC6	-0.151448633678161	0.472769153914645	0.572138725223957	no	-0.151448633678161	0.572138725223957	4	4	HSC6	human
O15021	MAST4	microtubule associated serine/threonine kinase family member 4	375449	O15021	Cal33-HSC6	2.50289040985156	0.000953911228139148	0.00576849116201911	no	2.50289040985156	0.00576849116201911	4	2	Cal33	human
O15027	SEC16A	SEC16 homolog A, endoplasmic reticulum export factor	9919	O15027	Cal33-HSC6	2.11925567640362	1.85266590113642e-05	0.00055129796534751	no	2.11925567640362	0.00055129796534751	4	4	Cal33	human
O15033	AREL1	apoptosis resistant E3 ubiquitin protein ligase 1	9870	O15033	Cal33-HSC6	-Inf	NA	0	yes	-6.93522357196047	0.0362174	0	4	HSC6	human
O15042	U2SURP	U2 snRNP associated SURP domain containing	23350	O15042	Cal33-HSC6	1.03791571509491	0.188197530623894	0.275884409533369	no	1.03791571509491	0.275884409533369	4	4	Cal33	human
O15047	SETD1A	SET domain containing 1A, histone lysine methyltransferase	9739	O15047	Cal33-HSC6	-0.72168906273362	0.00699900191118052	0.0227396143726518	no	-0.72168906273362	0.0227396143726518	4	4	HSC6	human
O15055	PER2	period circadian regulator 2	8864	O15055	Cal33-HSC6	0.381334656480808	0.316582342545167	0.416505303162488	no	0.381334656480808	0.416505303162488	2	4	Cal33	human
O15075	DCLK1	doublecortin like kinase 1	9201	O15075	Cal33-HSC6	1.29589988612303	0.00287819508207421	0.0121812541165025	no	1.29589988612303	0.0121812541165025	4	4	Cal33	human
O15085	ARHGEF11	Rho guanine nucleotide exchange factor 11	9826	O15085	Cal33-HSC6	0.63024146771362	0.0336985907071643	0.0731191870834913	no	0.63024146771362	0.0731191870834913	4	4	Cal33	human
O15119	TBX3	T-box transcription factor 3	6926	O15119	Cal33-HSC6	-1.92692169296706	0.0120185497503495	0.0332467961816794	no	-1.92692169296706	0.0332467961816794	2	3	HSC6	human
O15127	SCAMP2	secretory carrier membrane protein 2	10066	O15127	Cal33-HSC6	-0.364268518533911	0.24573668462601	0.340185045151833	no	-0.364268518533911	0.340185045151833	3	4	HSC6	human
O15155	BET1	Bet1 golgi vesicular membrane trafficking protein	10282	O15155	Cal33-HSC6	1.02221529135957	0.0118200974194065	0.0328142006140353	no	1.02221529135957	0.0328142006140353	4	4	Cal33	human
O15156	ZBTB7B	zinc finger and BTB domain containing 7B	51043	O15156	Cal33-HSC6	-0.234491582752439	0.506369648093028	0.602721854029234	no	-0.234491582752439	0.602721854029234	4	4	HSC6	human
O15164	TRIM24	tripartite motif containing 24	8805	O15164	Cal33-HSC6	-0.00629653293961141	0.969720640725654	0.979254843029015	no	-0.00629653293961141	0.979254843029015	4	4	HSC6	human
O15169	AXIN1	axin 1	8312	O15169	Cal33-HSC6	-0.470289814292135	0.359501073548751	0.460068897982003	no	-0.470289814292135	0.460068897982003	4	3	HSC6	human
O15194	CTDSPL	CTD small phosphatase like	10217	O15194	Cal33-HSC6	-1.38757838876953	0.000859400944809297	0.00546575430174799	no	-1.38757838876953	0.00546575430174799	4	4	HSC6	human
O15213	WDR46	WD repeat domain 46	9277	O15213	Cal33-HSC6	-1.08068297614801	0.000159270292217517	0.0018507905489802	no	-1.08068297614801	0.0018507905489802	3	4	HSC6	human
O15231	ZNF185	zinc finger protein 185 with LIM domain	7739	O15231	Cal33-HSC6	-2.45646115877215	1.42131383862321e-06	0.000153739791840006	no	-2.45646115877215	0.000153739791840006	4	4	HSC6	human
O15234	CASC3	CASC3 exon junction complex subunit	22794	O15234	Cal33-HSC6	-0.56006384868749	0.0395325857419646	0.0823229254430447	no	-0.56006384868749	0.0823229254430447	4	4	HSC6	human
O15258	RER1	retention in endoplasmic reticulum sorting receptor 1	11079	O15258	Cal33-HSC6	0.17174458162883	0.632796416248123	0.71397015922538	no	0.17174458162883	0.71397015922538	3	2	Cal33	human
O15265	ATXN7	ataxin 7	6314	O15265	Cal33-HSC6	-0.544514922083365	0.11222627683966	0.184359374986348	no	-0.544514922083365	0.184359374986348	3	1	HSC6	human
O15320	MIA2	MIA SH3 domain ER export factor 2	4253	O15320	Cal33-HSC6	0.253446206582838	0.416898985269792	0.516500532723354	no	0.253446206582838	0.516500532723354	4	4	Cal33	human
O15344	MID1	midline 1	4281	O15344	Cal33-HSC6	-Inf	NA	0	yes	-7.0274915103666	0.0473874	0	4	HSC6	human
O15350	TP73	tumor protein p73	7161	O15350	Cal33-HSC6	-1.62535211554946	0.0109956668081894	0.0311304912907726	no	-1.62535211554946	0.0311304912907726	1	4	HSC6	human
O15372	EIF3H	eukaryotic translation initiation factor 3 subunit H	8667	O15372	Cal33-HSC6	1.10521800387343	0.288196584686103	0.385878017510745	no	1.10521800387343	0.385878017510745	4	3	Cal33	human
O15400	STX7	syntaxin 7	8417	O15400	Cal33-HSC6	-0.433828608303281	0.412426665448182	0.512955665151176	no	-0.433828608303281	0.512955665151176	4	4	HSC6	human
O15409	FOXP2	forkhead box P2	93986	O15409	Cal33-HSC6	Inf	NA	0	yes	5.3891917651047	0.0245254	4	0	Cal33	human
O15417	TNRC18	trinucleotide repeat containing 18	84629	O15417	Cal33-HSC6	-0.901498599790881	0.000178040224084075	0.00196833358848505	no	-0.901498599790881	0.00196833358848505	4	4	HSC6	human
O15427	SLC16A3	solute carrier family 16 member 3	9123	O15427	Cal33-HSC6	-0.236460741722115	0.34844023635152	0.4488000455272	no	-0.236460741722115	0.4488000455272	1	4	HSC6	human
