ComplexID	ComplexName	Organism	Synonyms	Cell.line	subunits.UniProt.IDs.	subunits.Entrez.IDs.	Protein.complex.purification.method	GO.ID	GO.description	FunCat.ID	FunCat.description	PubMed.ID	subunits.Protein.name.	subunits.Gene.name.	subunits.Gene.name.syn.	Disease.comment	Subunits.comment	Complex.comment	SWISSPROT.organism	Num.Uniprot.IDs	MyListOverlap	querysize	expected	FCEnrichment	pvalue	Comparisons
956	PAR-3-PAR-6B-PRKCI complex	Human	None	epithelium	P41743;Q8TEW0;Q9BYG5	5584;56288;84612	MI:0007- anti tag coimmunoprecipitation	GO:0051211;GO:0009798;GO:0007043;GO:0030054	anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	40.01.03;41.05.19;42.06.04;70.06	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	12725730	Protein kinase C iota type;Partitioning defective 3 homolog;Partitioning defective 6 homolog beta	PRKCI;PARD3;PARD6B	DXS1179E;PAR3, PAR3A;PAR6B	None	None	Mammalian Lgl-2 competes with PAR-3 for its incorporation to the PAR-6B/aPKC lambda complex in cDNA-transfected 293T cells  and support the presence of two independent protein complexes containing PAR-6B/aPKC lambda.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
1045	Snurportin-CRM1-RanGTP complex	Human	None	None	O14980;O95149;P62826	7514;10073;5901	MI:0096- pull down	GO:0015031;GO:0008565;GO:0050658;GO:0051033;GO:0051169;GO:0005737;GO:0005634	protein transport;protein transporter activity;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus	20.01.10;20.01.21;20.09.01;70.03;70.10	protein transport;RNA transport;nuclear transport;cytoplasm;nucleus	10209022	Exportin-1 ;Snurportin-1 ;GTP-binding nuclear protein Ran	XPO1;SNUPN;RAN	CRM1;RNUT1 SPN1;ARA24	None	None	The complex is exported from the nucleus to the cytoplasm where  RanGTP is removed from CRM1 through the action of RanBP1 and RanGAP.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	3	1158	0.985252410663642	3.04490500863558	0	Cal33-HSC6
1176	CRM1-RAN-PHAX-CBC complex (cap binding complex)	Human	None	None	O14980;P52298;P62826;Q09161;Q9H814	7514;22916;5901;4686;51808	MI:0413- electrophoretic mobility shift assay; MI:0430- nucleic acid uv cross-linking assay	GO:0003723;GO:0050658;GO:0051033;GO:0051169;GO:0005737;GO:0005634	RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus	16.03.03;20.01.21;20.09.01;70.03;70.10	RNA binding;RNA transport;nuclear transport;cytoplasm;nucleus	10786834	Exportin-1 ;Nuclear cap-binding protein subunit 2;GTP-binding nuclear protein Ran;Nuclear cap-binding protein subunit 1;Phosphorylated adapter RNA export protein	XPO1;NCBP2;RAN;NCBP1;PHAX	CRM1;CBP20;ARA24;CBP80 NCBP;RNUXA	None	None	In metazoa, assembly of spliceosomal U snRNPs requires nuclear export of U snRNA precursors. Export depends upon the RNA cap structure, nuclear cap-binding complex (CBC), the export receptor CRM1/Xpo1, and RanGTP. PHAX (phosphorylated adaptor for RNA export) is an additional factor required for U snRNA export complex assembly in vitro. PHAX binding to CBC is greatly increased by the presence of capped RNA. Phosphorylated PHAX can bind to RanGTP/Xpo1 but does so more strongly in the presence of CBC and even more in the presence of both CBC and RNA. Thus, every step in U snRNA export complex formation involves some degree of cooperativity.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	5	3	1158	1.64208735110607	1.82694300518135	0.0427705933540787	Cal33-HSC6
1232	REST-CoREST-mSIN3A complex	Human	None	HEK-293 cells,	Q13127;Q96ST3;Q9UKL0	5978;25942;23186	MI:0007-anti tag coimmunoprecipitation	GO:0045892;GO:0022008;GO:0048699;GO:0030182;GO:0007399;GO:0005634	negative regulation of transcription, DNA-templated;neurogenesis;generation of neurons;neuron differentiation;nervous system development;nucleus	11.02.03.04.03;41.05.13;43.03.13;47.03.01;70.10	transcription repression;neurogenesis;neuron;nervous system;nucleus	10734093	RE1-silencing transcription factor ;Paired amphipathic helix protein Sin3a;REST corepressor 1	REST;SIN3A;RCOR1	NRSF XBR;None;KIAA0071 RCOR	None	None	The REST-mSin3A association involves the NH(2)-terminal repressor domain of REST and the paired amphipathic helix 2 domain of mSin3A. REST forms complexes with endogenous mSin3A in mammalian cells, and both mSin3A and CoREST interact with REST in intact mammalian cells.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
1261	SRm160/300 complex	Human	None	None	P08621;P09661;P62995;Q8IYB3;Q9UQ35	6625;6627;6434;10250;23524	MI:0019- coimmunoprecipitation	GO:0008380;GO:0003723;GO:0005634	RNA splicing;RNA binding;nucleus	11.04.03.01;16.03.03;70.10	splicing;RNA binding;nucleus	10339552	U1 small nuclear ribonucleoprotein 70 kDa ;U2 small nuclear ribonucleoprotein A' ;Transformer-2 protein homolog beta;Serine/arginine repetitive matrix protein 1 ;Serine/arginine repetitive matrix protein 2	SNRNP70;SNRPA1;TRA2B;SRRM1;SRRM2	RNPU1Z RPU1 SNRP70 U1AP1;;SFRS10;SRM160;KIAA0324 SRL300 SRM300	None	None	Exonic splicing enhancer (ESE) sequences are important for the recognition of splice sites in pre-mRNA. These sequences are bound by specific serine-arginine (SR) repeat proteins that promote the assembly of splicing complexes at adjacent splice sites. In a study, it was shown that SRm160/300 is required for a purine-rich ESE to promote the splicing of a pre-mRNA derived from the Drosophila doublesex gene. Results suggest a model for ESE function in which the SRm160/300 splicing coactivator promotes critical interactions between ESE-bound activators and the snRNP machinery of the spliceosome.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	5	3	1158	1.64208735110607	1.82694300518135	0.0427705933540787	Cal33-HSC6
1296	DCP1A-DCP2 Decapping complex	Human	None	None	Q8IU60;Q9NPI6	167227;55802	MI:0019- coimmunoprecipitation	GO:0006401;GO:0005737	RNA catabolic process;cytoplasm	01.03.16.01;70.03	RNA degradation;cytoplasm	12417715	m7GpppN-mRNA hydrolase ;mRNA-decapping enzyme 1A	DCP2;DCP1A	NUDT20;SMIF	None	None	Although the authors suggest the existence of a protein complex containing DCP proteins and UPF proteins they also state that there is currently no direct evidence for the significance of a strong interaction between hUpf1 and hDcp proteins.	Homo sapiens (Human);Homo sapiens (Human)	2	2	1158	0.656834940442428	3.04490500863558	0	Cal33-HSC6
1348	GLE1-NUPL2-NUP155 complex	Human	None	None	O15504;O75694;Q53GS7	11097;9631;2733	MI:0004- affinity chromatography technologies	GO:0006886;GO:0006605;GO:0015031	intracellular protein transport;protein targeting;protein transport	14.04;20.01.10	protein targeting, sorting and translocation;protein transport	16000379	Nucleoporin-like protein 2 ;Nuclear pore complex protein Nup155 ;Nucleoporin GLE1	NUPL2;NUP155;GLE1	CG1;KIAA0791;GLE1L	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
1552	TNPO2-RAN-NXF1 complex	Human	None	None	O14787;P62826;Q9UBU9	30000;5901;10482	MI:0019- coimmunoprecipitation	GO:0003723;GO:0050658;GO:0051033;GO:0051169;GO:0005737;GO:0005634	RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus	16.03.03;20.01.21;20.09.01;70.03;70.10	RNA binding;RNA transport;nuclear transport;cytoplasm;nucleus	12384575	Transportin-2 ;GTP-binding nuclear protein Ran;Nuclear RNA export factor 1	TNPO2;RAN;NXF1	;ARA24;TAP	None	None	Kap beta2B participates directly in the export of a large proportion of cellular mRNAs, and TAP connects Kap beta2B to the mRNAs to be exported (PMID:12384575).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
1810	ITGA4-PXN-GIT1 complex	Human	None	None	P13612;P49023;Q9Y2X7	3676;5829;28964	MI:0004- affinity chromatography technologies	GO:0050789;GO:0016477	regulation of biological process;cell migration	18;34.05.01	REGULATION OF METABOLISM AND PROTEIN FUNCTION;cell migration	15793570	Integrin alpha-4 ;Paxillin;ARF GTPase-activating protein GIT1	ITGA4;PXN;GIT1	CD49D;;None	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
1816	JUN-TCF4-CTNNB1 complex	Human	None	None	P05412;P15884;P35222	3725;6925;1499	MI:0096- pull down	GO:0016055;GO:0023052	Wnt signaling pathway;signaling	30.05.02.20;30.01	Wnt signalling pathway;cellular signalling	16007074	Transcription factor AP-1 ;Transcription factor 4 ;Catenin beta-1	JUN;TCF4;CTNNB1	;BHLHB19 ITF2 SEF2;CTNNB	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
2123	IKBKG homodimer complex	Human	None	None	Q9Y6K9	8517	MI:0018- two hybrid; MI:0030- cross-linking studies	GO:0030234;GO:0050790	enzyme regulator activity;regulation of catalytic activity	18.02.01	enzymatic activity regulation / enzyme regulator	12435599	NF-kappa-B essential modulator	IKBKG	FIP3, NEMO	None	None	KK-gamma forms homodimer and homotrimer both in vitro and in yeast or mammalian cells through a C-terminal domain comprising amino acids 251-419.	Homo sapiens (Human)	1	1	1158	0.328417470221214	3.04490500863558	0	Cal33-HSC6
2143	MAP2K5-PRKCI-SQSTM1 complex	Human	None	None	P41743;Q13163;Q13501	5584;5607;8878	MI:0019- coimmunoprecipitation	GO:0035556;GO:0023052	intracellular signal transduction;signaling	30.01	cellular signalling	12813044	Protein kinase C iota type;Dual specificity mitogen-activated protein kinase kinase 5 ;Sequestosome-1	PRKCI;MAP2K5;SQSTM1	DXS1179E;MEK5 MKK5 PRKMK5;ORCA OSIL	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
2215	BRCA1-LMO4-CTIP complex	Human	None	None	P38398;P61968;Q99708	672;8543;5932	MI:0007- anti tag coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	11751867	Breast cancer type 1 susceptibility protein;LIM domain transcription factor LMO4 ;DNA endonuclease RBBP8	BRCA1;LMO4;RBBP8	RNF53;;CTIP	BRCA1 is involved in breast cancer.	None	LMO4 functions as a repressor of BRCA1 activity in breast tissue.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
2462	Caveolin-1 homodimer complex	Human	None	None	Q03135	857	MI:0030- cross-linking studies	GO:0042632;GO:0005783	cholesterol homeostasis;endoplasmic reticulum	34.01.07;70.07	cholesterol homeostasis;endoplasmic reticulum	15782218	Caveolin-1	CAV1	CAV	None	None	None	Homo sapiens (Human)	1	1	1158	0.328417470221214	3.04490500863558	0	Cal33-HSC6
2513	N-WASp homomer	Human	None	None	O00401	8976	MI:0031- protein cross-linking with a bifunctional reagent	GO:0030036	actin cytoskeleton organization	42.04.03	actin cytoskeleton	10781580	Neural Wiskott-Aldrich syndrome protein	WASL	None	None	None	N-WASp undergoes self-association upon increasing concentration and the monomeric form activates actin polymerization and is favored by Grb2 binding.	Homo sapiens (Human)	1	1	1158	0.328417470221214	3.04490500863558	0	Cal33-HSC6
2649	MYC-DNMT3A-ZBTB17 complex	Human	None	None	P01106;Q13105;Q9Y6K1	4609;None;1788	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding	11.02.03.04;16.03.01	transcriptional control;DNA binding	15616584	Myc proto-oncogene protein ;Zinc finger and BTB domain-containing protein 17 ;DNA	MYC;ZBTB17;DNMT3A	BHLHE39;MIZ1 ZNF151 ZNF60;None	None	None	This complex is involved in a transcriptional silecing of  p21Cip1 promoter.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
2678	FOXO3-TP53 complex, oxidative stress stimulated	Human	None	None	O43524;P04637	2309;7157	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0000302;GO:0006979;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;response to reactive oxygen species;response to oxidative stress;nucleus	11.02.03.04;32.01.01;70.10	transcriptional control;oxidative stress response;nucleus	14976264	Forkhead box protein O3;Cellular tumor antigen p53	FOXO3;TP53	FKHRL1, FOXO3A;P53	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	2	2	1158	0.656834940442428	3.04490500863558	0	Cal33-HSC6
2679	p53-SP1 complex	Human	None	None	P04637;P08047	7157;6667	MI:0006- anti bait coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	15674334	Cellular tumor antigen p53;Transcription factor Sp1	TP53;SP1	P53;TSFP1	None	None	The authors provide evidence that p53 repressed the RECQ4 promoter by forming a complex with the transcription factor, SP1, and by regulating promoter occupancy of both itself and SP1 in concert with histone deacetylase 1 (HDAC1). The formation of this complex is camptothecin-dependent.	Homo sapiens (Human);Homo sapiens (Human)	2	2	1158	0.656834940442428	3.04490500863558	0	Cal33-HSC6
2681	p53 homotetramer complex	Human	None	None	P04637	7157	MI:0031- protein cross-linking with a bifunctional reagent; MI:0276- blue native page	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	15674341	Cellular tumor antigen p53	TP53	P53	None	None	The results demonstrate that Ref-1 (redox factor 1) modulates p53 DNA binding not only as a redox regulator but also as a factor, which facilitates the formation of p53 tetramers from higher oligomeric forms as well as from dimers. Ref-1 mediates de-stacking of higher oligomeric forms into individual tetramers, as well as the assembly of dimers into tetramers. Redox-dependent and redox-independent activation of p53 seem to require different amounts of Ref-1.	Homo sapiens (Human)	1	1	1158	0.328417470221214	3.04490500863558	0	Cal33-HSC6
2699	ER-alpha-GRIP1-c-Jun complex	Human	None	None	P03372;P05412;Q9Y3R0	2099;3725;23426	MI:0096- pull down	GO:2001141;GO:0006355;GO:0023052	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;signaling	11.02.03.04;30.01	transcriptional control;cellular signalling	11477071	Estrogen receptor;Transcription factor AP-1 ;Glutamate receptor-interacting protein 1	ESR1;JUN;GRIP1	ESR, NR3A1;;None	None	None	The authors showed that ERalpha , c-Jun, and the p160 coactivator GRIP1 can form a multiprotein complex in vitro and in intact cells and that the ERalpha - c-Jun interaction could be crucial for the stability of this complex.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
2726	PXN-ITGB5-PTK2 complex	Human	None	None	P18084;P49023;Q05397	3693;5829;5747	MI:0019- coimmunoprecipitation	GO:0007229	integrin-mediated signaling pathway	30.05.02.26	integrin receptor signalling pathway	11278329	Integrin beta-5;Paxillin;Focal adhesion kinase 1	ITGB5;PXN;PTK2	;;FAK FAK1	None	None	The changes in the expression of PAR1 in a cell affect its invasive capabilities. These changes come about through the specific recruitment of the alpha(v)-beta 5 integrin, through cytoskeletal reorganization, and through distinct signaling at FACs.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
2774	MDC1-H2AFX-TP53BP1 complex	Human	None	None	P16104;Q12888;Q14676	3014;7158;9656	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0000075;GO:0003677;GO:0006974;GO:0005634	DNA repair;cell cycle checkpoint;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;10.03.01.03;16.03.01;32.01.09;70.10	DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;DNA damage response;nucleus	12607005	Histone H2AX ;Tumor suppressor p53-binding protein 1 ;Mediator of DNA damage checkpoint protein 1	H2AFX;TP53BP1;MDC1	H2AX;;KIAA0170 NFBD1	None	None	MDC1 forms complexes with phosporylated H2AFX.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
2775	MDC1-p53BP1-SMC1 complex	Human	None	None	Q12888;Q14676;Q14683	7158;9656;8243	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0000075;GO:0003677;GO:0005634	DNA repair;cell cycle checkpoint;DNA binding;nucleus	10.01.05.01;10.03.01.03;16.03.01;70.10	DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;nucleus	12607005	Tumor suppressor p53-binding protein 1 ;Mediator of DNA damage checkpoint protein 1 ;Structural maintenance of chromosomes protein 1A	TP53BP1;MDC1;SMC1A	;KIAA0170 NFBD1;DXS423E KIAA0178 SB1.8 SMC1 SMC1L1	None	None	Interaction of MDC1 with 53BP1 and SMC1 is unaffected by DNA damage.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	3	2	1158	0.985252410663642	2.02993667242372	0.035360827805372	Cal33-HSC6
