Protein	Gene	ProteinName	EntrezID	ProteinRef	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
A6NKF1	A6NKF1	NA	NA	A6NKF1	Cal33-HSC6	0.798054364908831	0.431360581431641	1.8500864456835	6	0.113776488664224	0.186541884607049	NA	0.1875	0.1875
A7E2V4	ZSWIM8	zinc finger SWIM-type containing 8	23053	A7E2V4	Cal33-HSC6	1.29449158022436	0.539140722602393	2.40102727535762	3	0.0957859653643904	0.163266870299903	NA	0.375	0
A7KAX9	ARHGAP32	Rho GTPase activating protein 32	9743	A7KAX9	Cal33-HSC6	1.15205899316791	0.162766426370008	7.07798910906232	6	0.000398751085525006	0.00323059403641634	NA	0.321428571428571	0.178571428571429
A8CG34	A8CG34	NA	NA	A8CG34	Cal33-HSC6	0.570587872939682	0.188082275724721	3.03371421225677	6	0.022987851185903	0.0544504125687137	NA	0.44047619047619	0.25
A8MW92	PHF20L1	PHD finger protein 20 like 1	51105	A8MW92	Cal33-HSC6	0.652730447281916	0.462596468394986	1.41101476530207	4	0.231071886027011	0.324683532705208	NA	0.71875	0.28125
B2RTY4	MYO9A	myosin IXA	4649	B2RTY4	Cal33-HSC6	-1.21870561684024	0.290585852122652	-4.19396060729703	5	0.00853911525523099	0.0262691236450777	NA	0.3125	0.1875
C9JI98	TMEM238	transmembrane protein 238	388564	C9JI98	Cal33-HSC6	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.5	0
C9JLW8	MCRIP1	MAPK regulated corepressor interacting protein 1	348262	C9JLW8	Cal33-HSC6	-0.00316748370056239	0.480517139474749	-0.00659182251859892	6	0.994954229617543	0.995889838561159	NA	0.725	0.525
H7BZ55	H7BZ55	NA	NA	H7BZ55	Cal33-HSC6	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.75	0
O00116	AGPS	alkylglycerone phosphate synthase	8540	O00116	Cal33-HSC6	0.239591788005249	0.128631634206629	1.8626194830144	6	0.111817008296513	0.184275591523625	NA	0	0
O00139	KIF2A	kinesin family member 2A	3796	O00139	Cal33-HSC6	1.29064648431975	0.186688797228693	6.91335797047699	5	0.000970771521269231	0.0058319557051344	NA	0.25	0.125
O00148	DDX39A	DExD-box helicase 39A	10212	O00148	Cal33-HSC6	-0.366646627423217	0.664794552240154	-0.551518700307832	5	0.605018493682181	0.690705946175714	NA	0.3125	0.1875
O00151	PDLIM1	PDZ and LIM domain 1	9124	O00151	Cal33-HSC6	0.639512370537805	0.233466622388444	2.73920256349869	6	0.0337713760611078	0.0731483410738553	NA	0.15625	0.15625
O00159	MYO1C	myosin IC	4641	O00159	Cal33-HSC6	-0.0731951655362762	0.26226411353428	-0.279089519911419	6	0.789546409302409	0.841618937803439	NA	0.3	0.3
O00161	SNAP23	synaptosome associated protein 23	8773	O00161	Cal33-HSC6	-0.869207881456844	0.23062098325579	-3.76898870686357	6	0.0092997667279664	0.027699211657479	NA	0.425	0.225
O00178	GTPBP1	GTP binding protein 1	9567	O00178	Cal33-HSC6	1.99004672570613	0.30522182536746	6.52000139017022	6	0.000620940516680824	0.00434329605732815	NA	0.357142857142857	0.214285714285714
O00192	ARVCF	ARVCF delta catenin family member	421	O00192	Cal33-HSC6	-0.788063172478444	0.242062078216491	-3.25562425260858	6	0.0173436258615662	0.0441205299398785	NA	0.375	0.193181818181818
O00193	C11orf58	chromosome 11 open reading frame 58	10944	O00193	Cal33-HSC6	-1.72688419700493	0.221019834869516	-7.81325439874858	6	0.000231904267592675	0.0023067065744106	NA	0.291666666666667	0.208333333333333
O00203	AP3B1	adaptor related protein complex 3 subunit beta 1	8546	O00203	Cal33-HSC6	-0.122424348501362	0.330907729037417	-0.369965213135047	5	0.726561968586319	0.791979906873961	NA	0.4375	0.3125
O00233	PSMD9	proteasome 26S subunit, non-ATPase 9	5715	O00233	Cal33-HSC6	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.75	0
O00257	CBX4	chromobox 4	8535	O00257	Cal33-HSC6	0.0541202261596871	0.190320089393917	0.284364232551779	6	0.785690309265087	0.838069663216093	NA	0.142857142857143	0.142857142857143
O00264	PGRMC1	progesterone receptor membrane component 1	10857	O00264	Cal33-HSC6	-0.918196544709723	0.227714104919397	-4.03223394982376	6	0.00686287068489522	0.0223950106420947	NA	0.1875	0.1875
O00267	SUPT5H	SPT5 homolog, DSIF elongation factor subunit	6829	O00267	Cal33-HSC6	-1.35590590385483	0.257272072865786	-5.27031903910606	6	0.00188263862902849	0.00917966522944366	NA	0.546875	0.296875
O00268	TAF4	TATA-box binding protein associated factor 4	6874	O00268	Cal33-HSC6	-0.63424153652002	0.479360512083533	-1.32309925522088	5	0.243077235825739	0.33826832118407	NA	0.375	0.25
O00273	DFFA	DNA fragmentation factor subunit alpha	1676	O00273	Cal33-HSC6	0.34372196672	0.264844371853323	1.29782620757507	6	0.242004194350536	0.337069709016669	NA	0.458333333333333	0.125
O00303	EIF3F	eukaryotic translation initiation factor 3 subunit F	8665	O00303	Cal33-HSC6	1.23750405351682	0.402788222688385	3.07234418438845	6	0.0218762960738044	0.0523321763328273	NA	0	0
O00308	WWP2	WW domain containing E3 ubiquitin protein ligase 2	11060	O00308	Cal33-HSC6	-1.2345630797538	0.191965871306641	-6.43115920215707	6	0.000668145956534083	0.004539637850478	NA	0	0
O00401	WASL	WASP like actin nucleation promoting factor	8976	O00401	Cal33-HSC6	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.75	0
O00418	EEF2K	eukaryotic elongation factor 2 kinase	29904	O00418	Cal33-HSC6	0.856047441588594	0.302339376704019	2.83141233841545	6	0.0299022376888018	0.0669540962033369	NA	0.390625	0.390625
O00425	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	10643	O00425	Cal33-HSC6	-2.20008212207044	0.583260280125737	-3.77204174026072	5	0.012995632782927	0.0353961460913941	NA	0.5625	0
O00429	DNM1L	dynamin 1 like	10059	O00429	Cal33-HSC6	0.644516595093338	0.175517145741974	3.67210047980632	6	0.0104281551898231	0.0299938989380278	NA	0.125	0.125
O00443	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	5286	O00443	Cal33-HSC6	-0.82115831042062	0.305183114672651	-2.69070689347089	6	0.0360187482323038	0.0768142628075387	NA	0.5	0.166666666666667
O00458	IFRD1	interferon related developmental regulator 1	3475	O00458	Cal33-HSC6	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.8125	0
O00472	ELL2	elongation factor for RNA polymerase II 2	22936	O00472	Cal33-HSC6	1.7854810097691	0.393307691481712	4.5396544446986	6	0.00393468767008387	0.0151304897844771	NA	0.65	0.45
O00479	HMGN4	high mobility group nucleosomal binding domain 4	10473	O00479	Cal33-HSC6	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.625	0
O00488	ZNF593	zinc finger protein 593	51042	O00488	Cal33-HSC6	0.821698522278423	0.295400359080742	2.78164361355372	6	0.0319276514749429	0.0702540720775524	NA	0.625	0.125
O00499	BIN1	bridging integrator 1	274	O00499	Cal33-HSC6	-0.635889456045559	0.286298889617811	-2.22106853747993	6	0.0680977074727691	0.125840453043121	NA	0.5	0.25
O00505	KPNA3	karyopherin subunit alpha 3	3839	O00505	Cal33-HSC6	-1.04041434921667	0.124076142302308	-8.3852893063175	3	0.00355726454125049	0.0141278493598045	NA	0.375	0
O00512	BCL9	BCL9 transcription coactivator	607	O00512	Cal33-HSC6	-0.790925365383034	0.224775472492057	-3.51873519211925	6	0.012537771538339	0.0344460573006225	NA	0.125	0.125
O00515	LAD1	ladinin 1	3898	O00515	Cal33-HSC6	-1.05737691761881	0.137053407293364	-7.7150720912431	6	0.000248681901533931	0.00242884409350932	NA	0.341666666666667	0.208333333333333
O00559	EBAG9	estrogen receptor binding site associated antigen 9	9166	O00559	Cal33-HSC6	-0.0792223481612602	0.202492669902787	-0.391235634353052	6	0.709138822970891	0.778854091872824	NA	0.21875	0.21875
O00560	SDCBP	syndecan binding protein	6386	O00560	Cal33-HSC6	1.71624841326033	0.60671252693389	2.82876706359376	5	0.0367279172549559	0.0779158901078078	NA	0.5	0.375
O00562	PITPNM1	phosphatidylinositol transfer protein membrane associated 1	9600	O00562	Cal33-HSC6	-0.278132062477451	0.40282688520193	-0.690450594771073	4	0.52788513644911	0.62205265523833	NA	0.25	0
O00567	NOP56	NOP56 ribonucleoprotein	10528	O00567	Cal33-HSC6	0.377825659161075	0.104297817887503	3.62256533083561	6	0.0110631387588014	0.0312833337549055	NA	0.5	0.357142857142857
O00571	DDX3X	DEAD-box helicase 3 X-linked	1654	O00571	Cal33-HSC6	-0.197028873565685	0.134890910785116	-1.46065344520918	6	0.194411636609892	0.28278056234166	NA	0.196428571428571	0.0535714285714286
O00592	PODXL	podocalyxin like	5420	O00592	Cal33-HSC6	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.75	0
O00712	NFIB	nuclear factor I B	4781	O00712	Cal33-HSC6	2.55492011914802	0.155510008223076	16.4292970487343	6	3.2398085079155e-06	0.000238772972601805	NA	0.590909090909091	0.5
O00716	E2F3	E2F transcription factor 3	1871	O00716	Cal33-HSC6	-1.95737498788983	0.493688071228858	-3.96480105953877	4	0.0166107578909946	0.0427901724311707	NA	0.5	0.25
O00767	SCD	stearoyl-CoA desaturase	6319	O00767	Cal33-HSC6	0.194692515249857	0.417639803823259	0.466173275314171	5	0.660695031102739	0.737606233881879	NA	0.375	0.25
O14494	PLPP1	phospholipid phosphatase 1	8611	O14494	Cal33-HSC6	1.30203948883732	0.408172131889114	3.18992745244801	4	0.0332185247839702	0.0723445847552403	NA	0.767857142857143	0.196428571428571
O14497	ARID1A	AT-rich interaction domain 1A	8289	O14497	Cal33-HSC6	0.184005206836528	0.136867032591242	1.34440853544379	6	0.227413740421504	0.320675531223237	NA	0.392857142857143	0.278571428571429
O14519	CDK2AP1	cyclin dependent kinase 2 associated protein 1	8099	O14519	Cal33-HSC6	0.0418114708854265	0.275644796532042	0.151686051800968	5	0.885364954505512	0.921104216895894	NA	0.583333333333333	0.166666666666667
O14523	C2CD2L	C2CD2 like	9854	O14523	Cal33-HSC6	0.852151552343725	0.189378990033274	4.49971537071773	5	0.00640121451414455	0.0212306948052461	NA	0.375	0.25
O14524	NEMP1	nuclear envelope integral membrane protein 1	23306	O14524	Cal33-HSC6	-0.835184554366166	0.0826893832302475	-10.1002634405992	3	0.00206707107201654	0.00973602706109563	NA	0.375	0
O14530	TXNDC9	thioredoxin domain containing 9	10190	O14530	Cal33-HSC6	0.892243074529272	0.50108263476606	1.78063060386404	3	0.173008069450348	0.258254895982141	NA	0.375	0
O14545	TRAFD1	TRAF-type zinc finger domain containing 1	10906	O14545	Cal33-HSC6	1.05733511173337	0.486401609498283	2.17379032282397	6	0.0726810075469719	0.131861155572398	NA	0.607142857142857	0.321428571428571
O14578	CIT	citron rho-interacting serine/threonine kinase	11113	O14578	Cal33-HSC6	-0.576320426256556	0.0648728314248353	-8.88384881002624	6	0.000113262864378516	0.00160279537858309	NA	0.275	0.208333333333333
O14579	COPE	COPI coat complex subunit epsilon	11316	O14579	Cal33-HSC6	-1.3285150162206	0.241437594732675	-5.50251926462225	5	0.0027096328585936	0.0117108066375723	NA	0.125	0
O14595	CTDSP2	CTD small phosphatase 2	10106	O14595	Cal33-HSC6	-0.168340068002754	0.159781008816938	-1.0535674373894	2	0.402577133208543	0.504250823027537	NA	0.833333333333333	0.166666666666667
O14607	UTY	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked	7404	O14607	Cal33-HSC6	0.0443248573183387	0.309645267323825	0.143147213911666	4	0.893095457668647	0.925391557052825	NA	0.25	0
O14613	CDC42EP2	CDC42 effector protein 2	10435	O14613	Cal33-HSC6	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.75	0
O14617	AP3D1	adaptor related protein complex 3 subunit delta 1	8943	O14617	Cal33-HSC6	-0.565323457199383	0.289598364506697	-1.9520947853499	6	0.098771700298157	0.167370459685648	NA	0.1875	0.1875
O14618	CCS	copper chaperone for superoxide dismutase	9973	O14618	Cal33-HSC6	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.625	0
O14639	ABLIM1	actin binding LIM protein 1	3983	O14639	Cal33-HSC6	0.522800741197929	0.167078986054508	3.12906340613876	6	0.0203488399010485	0.0497151130521352	NA	0.28125	0.197916666666667
O14646	CHD1	chromodomain helicase DNA binding protein 1	1105	O14646	Cal33-HSC6	0.25297933304823	0.213214424211957	1.18650196384811	6	0.280270888120857	0.377808004985948	NA	0.55	0.25
O14647	CHD2	chromodomain helicase DNA binding protein 2	1106	O14647	Cal33-HSC6	-0.788192797191767	0.154514111163983	-5.10110559646732	6	0.00221898973124546	0.0102020816017526	NA	0.333333333333333	0.222222222222222
O14653	GOSR2	golgi SNAP receptor complex member 2	9570	O14653	Cal33-HSC6	-2.92257915756787	0.30562270306103	-9.56270305934785	1	0.0663321125111982	0.123581887791489	NA	0.625	0
O14662	STX16	syntaxin 16	8675	O14662	Cal33-HSC6	-0.574095545896657	0.221526618177736	-2.59154204862211	6	0.0411266470141696	0.0851966454737254	NA	0.5	0.5
O14681	EI24	EI24 autophagy associated transmembrane protein	9538	O14681	Cal33-HSC6	0.853129941203698	0.350102978569882	2.43679715233674	6	0.0506918555577318	0.100312534553026	NA	0.708333333333333	0.375
O14683	TP53I11	tumor protein p53 inducible protein 11	9537	O14683	Cal33-HSC6	2.63697979809887	0.297945648007883	8.85053974015121	6	0.000115682478066592	0.00160372297294842	NA	0	0
O14684	PTGES	prostaglandin E synthase	9536	O14684	Cal33-HSC6	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.625	0
O14686	KMT2D	lysine methyltransferase 2D	8085	O14686	Cal33-HSC6	-0.144172465201959	0.272839022176784	-0.528415855077152	6	0.616176405935384	0.700430445019015	NA	0.3828125	0.2578125
O14733	MAP2K7	mitogen-activated protein kinase kinase 7	5609	O14733	Cal33-HSC6	1.00383357457426	0.935433654076997	1.0731210815424	5	0.332255143384858	0.433210637402698	NA	0.666666666666667	0.25
O14737	PDCD5	programmed cell death 5	9141	O14737	Cal33-HSC6	-1.6404980662588	0.148768275217199	-11.027203641796	6	3.30803796491086e-05	0.000747100247080531	NA	0	0
O14745	SLC9A3R1	SLC9A3 regulator 1	9368	O14745	Cal33-HSC6	-0.344203613764888	0.413753963002787	-0.831904089248734	6	0.437312900899928	0.537607828751108	NA	0.166666666666667	0.166666666666667
O14757	CHEK1	checkpoint kinase 1	1111	O14757	Cal33-HSC6	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.75	0
O14818	PSMA7	proteasome 20S subunit alpha 7	5688	O14818	Cal33-HSC6	-1.06310230988147	0.420086562986885	-2.53067439796845	6	0.0446390455279655	0.0909927791043804	NA	0.416666666666667	0.416666666666667
O14828	SCAMP3	secretory carrier membrane protein 3	10067	O14828	Cal33-HSC6	0.585244557322546	0.197074153345688	2.96966673400325	5	0.0311690744511515	0.0689661800225617	NA	0.125	0
O14867	BACH1	BTB domain and CNC homolog 1	571	O14867	Cal33-HSC6	-2.43407154812868	0.1987017266722	-12.2498761781985	6	1.80217294338814e-05	0.000541331948278097	NA	0	0
O14874	BCKDK	branched chain keto acid dehydrogenase kinase	10295	O14874	Cal33-HSC6	-1.09346174815947	0.299849664889966	-3.64669991730932	6	0.0107485630548276	0.0306661512245261	NA	0.416666666666667	0.416666666666667
O14879	IFIT3	interferon induced protein with tetratricopeptide repeats 3	3437	O14879	Cal33-HSC6	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.5	0
O14893	GEMIN2	gem nuclear organelle associated protein 2	8487	O14893	Cal33-HSC6	0.618251108325185	0.501627988153009	1.23248926081972	4	0.285255466303102	0.382744797601802	NA	0.65625	0.40625
O14896	IRF6	interferon regulatory factor 6	3664	O14896	Cal33-HSC6	1.07423678947099	0.263398201663072	4.07837556478502	6	0.00651400138182634	0.0214928294297773	NA	0	0
O14908	GIPC1	GIPC PDZ domain containing family member 1	10755	O14908	Cal33-HSC6	0.295351715697198	0.325673573953463	0.906894938118012	6	0.399417826559048	0.500687543214176	NA	0.1875	0.1875
O14924	RGS12	regulator of G protein signaling 12	6002	O14924	Cal33-HSC6	1.8033005267965	0.453893737288726	3.97295749786785	4	0.016497860123847	0.0425682225561823	NA	0.25	0
O14929	HAT1	histone acetyltransferase 1	8520	O14929	Cal33-HSC6	0.849573015807433	0.264463730773511	3.21243678035767	6	0.0183107290029456	0.0460516280769185	NA	0.270833333333333	0.104166666666667
O14936	CASK	calcium/calmodulin dependent serine protein kinase	8573	O14936	Cal33-HSC6	-0.454809324926418	0.510263809661067	-0.891321932528424	5	0.413587359825918	0.513396551144531	NA	0.708333333333333	0
O14939	PLD2	phospholipase D2	5338	O14939	Cal33-HSC6	-0.661036353553448	0.13652014104464	-4.84204270882858	5	0.00470651742512551	0.0172327933794159	NA	0.375	0.25
O14965	AURKA	aurora kinase A	6790	O14965	Cal33-HSC6	-1.97209192904293	0.666850291654873	-2.95732333587039	5	0.0316165282070608	0.0697140067945164	NA	0.125	0
O14974	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	4659	O14974	Cal33-HSC6	0.0146342546028481	0.311705829354993	0.0469489282030126	6	0.964077608217321	0.975412489534144	NA	0.306818181818182	0.306818181818182
O14976	GAK	cyclin G associated kinase	2580	O14976	Cal33-HSC6	0.159193244066919	0.233200576099745	0.682645157783952	6	0.520302301452527	0.615623384550295	NA	0.5	0.5
O14978	ZNF263	zinc finger protein 263	10127	O14978	Cal33-HSC6	0.9462615212963	0.287882978213444	3.28696586081139	6	0.016676850798961	0.0428275952994053	NA	0.583333333333333	0.25
O14980	XPO1	exportin 1	7514	O14980	Cal33-HSC6	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.625	0
O15013	ARHGEF10	Rho guanine nucleotide exchange factor 10	9639	O15013	Cal33-HSC6	1.35938398372561	0.555659524932917	2.44643333323536	6	0.0500325062633582	0.0991927147836442	NA	0.375	0.375
O15014	ZNF609	zinc finger protein 609	23060	O15014	Cal33-HSC6	-0.335052022033211	0.142660889823804	-2.34859058041082	6	0.0571684741914145	0.110516088786126	NA	0.378787878787879	0.227272727272727
O15020	SPTBN2	spectrin beta, non-erythrocytic 2	6712	O15020	Cal33-HSC6	-0.151448633678161	0.19773426432564	-0.765920030069986	6	0.472769153914645	0.572138725223957	NA	0.3125	0.3125
O15021	MAST4	microtubule associated serine/threonine kinase family member 4	375449	O15021	Cal33-HSC6	2.50289040985156	0.287127261492264	8.71700721430449	4	0.000953911228139148	0.00576849116201911	NA	0.375	0.125
O15027	SEC16A	SEC16 homolog A, endoplasmic reticulum export factor	9919	O15027	Cal33-HSC6	2.11925567640362	0.173828824904606	12.1916240161356	6	1.85266590113642e-05	0.00055129796534751	NA	0.510416666666667	0.34375
O15033	AREL1	apoptosis resistant E3 ubiquitin protein ligase 1	9870	O15033	Cal33-HSC6	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.75	0
O15042	U2SURP	U2 snRNP associated SURP domain containing	23350	O15042	Cal33-HSC6	1.03791571509491	0.699142779651481	1.48455472230194	6	0.188197530623894	0.275884409533369	NA	0.511363636363636	0.238636363636364
O15047	SETD1A	SET domain containing 1A, histone lysine methyltransferase	9739	O15047	Cal33-HSC6	-0.72168906273362	0.179751069556903	-4.01493612534616	6	0.00699900191118052	0.0227396143726518	NA	0.575	0.375
O15055	PER2	period circadian regulator 2	8864	O15055	Cal33-HSC6	0.381334656480808	0.333452883346819	1.1435938194728	4	0.316582342545167	0.416505303162488	NA	0.5	0.25
O15075	DCLK1	doublecortin like kinase 1	9201	O15075	Cal33-HSC6	1.29589988612303	0.267698961050713	4.84088500394865	6	0.00287819508207421	0.0121812541165025	NA	0.541666666666667	0.375
O15085	ARHGEF11	Rho guanine nucleotide exchange factor 11	9826	O15085	Cal33-HSC6	0.63024146771362	0.22994544187119	2.74083044475683	6	0.0336985907071643	0.0731191870834913	NA	0.625	0.25
O15119	TBX3	T-box transcription factor 3	6926	O15119	Cal33-HSC6	-1.92692169296706	0.352351405985438	-5.46874983392772	3	0.0120185497503495	0.0332467961816794	NA	0.375	0
O15127	SCAMP2	secretory carrier membrane protein 2	10066	O15127	Cal33-HSC6	-0.364268518533911	0.277111030675126	-1.31452189992742	5	0.24573668462601	0.340185045151833	NA	0.5625	0
O15155	BET1	Bet1 golgi vesicular membrane trafficking protein	10282	O15155	Cal33-HSC6	1.02221529135957	0.286537440801656	3.56747547022015	6	0.0118200974194065	0.0328142006140353	NA	0	0
O15156	ZBTB7B	zinc finger and BTB domain containing 7B	51043	O15156	Cal33-HSC6	-0.234491582752439	0.331903683773721	-0.706504911564363	6	0.506369648093028	0.602721854029234	NA	0.5	0.25
O15164	TRIM24	tripartite motif containing 24	8805	O15164	Cal33-HSC6	-0.00629653293961141	0.159128604884422	-0.0395688314127098	6	0.969720640725654	0.979254843029015	NA	0.395833333333333	0.395833333333333
O15169	AXIN1	axin 1	8312	O15169	Cal33-HSC6	-0.470289814292135	0.46632849034793	-1.00849470711354	5	0.359501073548751	0.460068897982003	NA	0.541666666666667	0.416666666666667
O15194	CTDSPL	CTD small phosphatase like	10217	O15194	Cal33-HSC6	-1.38757838876953	0.226245196986186	-6.13307335251079	6	0.000859400944809297	0.00546575430174799	NA	0	0
O15213	WDR46	WD repeat domain 46	9277	O15213	Cal33-HSC6	-1.08068297614801	0.106486497000375	-10.1485447130841	5	0.000159270292217517	0.0018507905489802	NA	0.208333333333333	0.0833333333333333
O15231	ZNF185	zinc finger protein 185 with LIM domain	7739	O15231	Cal33-HSC6	-2.45646115877215	0.130029742641619	-18.8915328821539	6	1.42131383862321e-06	0.000153739791840006	NA	0.6875	0.333333333333333
O15234	CASC3	CASC3 exon junction complex subunit	22794	O15234	Cal33-HSC6	-0.56006384868749	0.213682271471666	-2.62101223854574	6	0.0395325857419646	0.0823229254430447	NA	0.325	0.225
O15258	RER1	retention in endoplasmic reticulum sorting receptor 1	11079	O15258	Cal33-HSC6	0.17174458162883	0.324010612797439	0.530058506868103	3	0.632796416248123	0.71397015922538	NA	0.625	0.25
O15265	ATXN7	ataxin 7	6314	O15265	Cal33-HSC6	-0.544514922083365	0.199624916523899	-2.72769016796646	2	0.11222627683966	0.184359374986348	NA	0.625	0.125
O15320	MIA2	MIA SH3 domain ER export factor 2	4253	O15320	Cal33-HSC6	0.253446206582838	0.290759150858801	0.87167061065575	6	0.416898985269792	0.516500532723354	NA	0.427083333333333	0.177083333333333
O15344	MID1	midline 1	4281	O15344	Cal33-HSC6	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.541666666666667	0.0416666666666667
O15350	TP73	tumor protein p73	7161	O15350	Cal33-HSC6	-1.62535211554946	0.287869080404974	-5.64615037246416	3	0.0109956668081894	0.0311304912907726	NA	0.375	0
O15372	EIF3H	eukaryotic translation initiation factor 3 subunit H	8667	O15372	Cal33-HSC6	1.10521800387343	0.930346552418824	1.18796377650883	5	0.288196584686103	0.385878017510745	NA	0.333333333333333	0.208333333333333
O15400	STX7	syntaxin 7	8417	O15400	Cal33-HSC6	-0.433828608303281	0.492665222932271	-0.880574857143755	6	0.412426665448182	0.512955665151176	NA	0.525	0.325
O15409	FOXP2	forkhead box P2	93986	O15409	Cal33-HSC6	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.5	0
